iteration,image,mode,startup_ms
1,alpine,warm,1444.09
2,alpine,warm,1048.55
3,alpine,warm,1108.74
4,alpine,warm,1177.91
5,alpine,warm,1042.94
6,alpine,warm,1168.33
7,alpine,warm,1188.89
8,alpine,warm,1056.34
9,alpine,warm,1154.97
10,alpine,warm,1097.76
11,alpine,warm,1213.27
12,alpine,warm,1072.56
13,alpine,warm,1135.77
14,alpine,warm,1110.67
15,alpine,warm,1119.18
16,alpine,warm,1177.54
17,alpine,warm,1432.38
18,alpine,warm,1159.82
19,alpine,warm,1193.74
20,alpine,warm,1302.65
21,alpine,warm,1170.90
22,alpine,warm,1139.09
23,alpine,warm,1149.34
24,alpine,warm,1076.32
25,alpine,warm,1088.53
26,alpine,warm,1151.73
27,alpine,warm,1248.04
28,alpine,warm,1089.98
29,alpine,warm,1085.81
30,alpine,warm,1231.62
31,alpine,warm,1197.08
32,alpine,warm,1140.05
33,alpine,warm,1192.61
34,alpine,warm,1029.35
35,alpine,warm,1107.16
36,alpine,warm,1193.70
37,alpine,warm,1084.93
38,alpine,warm,1096.37
39,alpine,warm,1282.05
40,alpine,warm,1263.99
41,alpine,warm,1176.95
42,alpine,warm,1134.14
43,alpine,warm,1097.19
44,alpine,warm,1405.70
45,alpine,warm,1149.54
46,alpine,warm,1121.22
47,alpine,warm,976.98
48,alpine,warm,1147.16
49,alpine,warm,1041.27
50,alpine,warm,1199.41
1,alpine,cold,1559.13
2,alpine,cold,1509.89
3,alpine,cold,1308.10
4,alpine,cold,1414.65
5,alpine,cold,1551.98
6,alpine,cold,1301.55
7,alpine,cold,1495.59
8,alpine,cold,1350.13
9,alpine,cold,1336.57
10,alpine,cold,1391.91
11,alpine,cold,1414.44
12,alpine,cold,1401.71
13,alpine,cold,1433.44
14,alpine,cold,1518.05
15,alpine,cold,1331.56
16,alpine,cold,1292.92
17,alpine,cold,1352.93
18,alpine,cold,1437.83
19,alpine,cold,1391.06
20,alpine,cold,1434.23
1,nginx,warm,1356.53
2,nginx,warm,1209.26
3,nginx,warm,1179.80
4,nginx,warm,1096.36
5,nginx,warm,1229.28
6,nginx,warm,1202.50
7,nginx,warm,1191.46
8,nginx,warm,1182.15
9,nginx,warm,1134.41
10,nginx,warm,1091.30
11,nginx,warm,1352.70
12,nginx,warm,1329.57
13,nginx,warm,1435.54
14,nginx,warm,1327.49
15,nginx,warm,1442.27
16,nginx,warm,1444.03
17,nginx,warm,1171.15
18,nginx,warm,1255.40
19,nginx,warm,1443.72
20,nginx,warm,1436.33
21,nginx,warm,1382.87
22,nginx,warm,1454.29
23,nginx,warm,1206.58
24,nginx,warm,1241.64
25,nginx,warm,1232.62
26,nginx,warm,1139.72
27,nginx,warm,1312.17
28,nginx,warm,1215.65
29,nginx,warm,1444.11
30,nginx,warm,1433.01
31,nginx,warm,1359.20
32,nginx,warm,1189.05
33,nginx,warm,1197.09
34,nginx,warm,1298.78
35,nginx,warm,1221.76
36,nginx,warm,1137.24
37,nginx,warm,1148.82
38,nginx,warm,1226.14
39,nginx,warm,1357.99
40,nginx,warm,1030.80
41,nginx,warm,1156.82
42,nginx,warm,1432.84
43,nginx,warm,1433.40
44,nginx,warm,1514.49
45,nginx,warm,1414.76
46,nginx,warm,1429.08
47,nginx,warm,1560.82
48,nginx,warm,1088.64
49,nginx,warm,1160.92
50,nginx,warm,1398.56
1,nginx,cold,1792.21
2,nginx,cold,1775.72
3,nginx,cold,1499.48
4,nginx,cold,1593.90
5,nginx,cold,1703.43
6,nginx,cold,1443.89
7,nginx,cold,1357.89
8,nginx,cold,1360.82
9,nginx,cold,1595.66
10,nginx,cold,1745.05
11,nginx,cold,2219.37
12,nginx,cold,1271.16
13,nginx,cold,1700.95
14,nginx,cold,2007.04
15,nginx,cold,2047.24
16,nginx,cold,1771.34
17,nginx,cold,1702.58
18,nginx,cold,1884.85
19,nginx,cold,1912.52
20,nginx,cold,1743.14
1,python_3.11-slim,warm,1387.74
2,python_3.11-slim,warm,1485.50
3,python_3.11-slim,warm,1351.52
4,python_3.11-slim,warm,1394.69
5,python_3.11-slim,warm,1511.94
6,python_3.11-slim,warm,1432.13
7,python_3.11-slim,warm,1495.17
8,python_3.11-slim,warm,1450.15
9,python_3.11-slim,warm,1462.65
10,python_3.11-slim,warm,1469.69
11,python_3.11-slim,warm,1249.70
12,python_3.11-slim,warm,1348.44
13,python_3.11-slim,warm,1319.40
14,python_3.11-slim,warm,1276.32
15,python_3.11-slim,warm,1659.02
16,python_3.11-slim,warm,1306.17
17,python_3.11-slim,warm,1495.79
18,python_3.11-slim,warm,1376.39
19,python_3.11-slim,warm,1270.14
20,python_3.11-slim,warm,1459.30
21,python_3.11-slim,warm,1506.53
22,python_3.11-slim,warm,1255.75
23,python_3.11-slim,warm,1525.86
24,python_3.11-slim,warm,1341.58
25,python_3.11-slim,warm,1419.51
26,python_3.11-slim,warm,1477.93
27,python_3.11-slim,warm,1194.71
28,python_3.11-slim,warm,1298.89
29,python_3.11-slim,warm,1145.55
30,python_3.11-slim,warm,1309.21
31,python_3.11-slim,warm,1125.38
32,python_3.11-slim,warm,1275.79
33,python_3.11-slim,warm,1320.66
34,python_3.11-slim,warm,1347.07
35,python_3.11-slim,warm,1211.33
36,python_3.11-slim,warm,1207.19
37,python_3.11-slim,warm,1389.17
38,python_3.11-slim,warm,1115.76
39,python_3.11-slim,warm,1292.13
40,python_3.11-slim,warm,1201.38
41,python_3.11-slim,warm,1179.35
42,python_3.11-slim,warm,1136.51
43,python_3.11-slim,warm,1425.75
44,python_3.11-slim,warm,1317.11
45,python_3.11-slim,warm,1381.50
46,python_3.11-slim,warm,1304.07
47,python_3.11-slim,warm,1179.89
48,python_3.11-slim,warm,1183.25
49,python_3.11-slim,warm,1132.37
50,python_3.11-slim,warm,1311.18
1,python_3.11-slim,cold,1561.33
2,python_3.11-slim,cold,1614.03
3,python_3.11-slim,cold,1576.28
4,python_3.11-slim,cold,1823.88
5,python_3.11-slim,cold,1748.61
6,python_3.11-slim,cold,1523.16
7,python_3.11-slim,cold,1615.85
8,python_3.11-slim,cold,1619.08
9,python_3.11-slim,cold,5095.59
10,python_3.11-slim,cold,1733.42
11,python_3.11-slim,cold,1619.96
12,python_3.11-slim,cold,1903.98
13,python_3.11-slim,cold,1729.35
14,python_3.11-slim,cold,1820.21
15,python_3.11-slim,cold,1974.71
16,python_3.11-slim,cold,1760.78
17,python_3.11-slim,cold,1726.23
18,python_3.11-slim,cold,1928.44
19,python_3.11-slim,cold,1562.13
20,python_3.11-slim,cold,1624.13
